id,set,severity,parentId,category,probeAxis,family,intervention,interventionApplied,interventionReason,routeId,baselineRouteId,disposition,baselineDisposition,evidenceTier,baselineEvidenceTier,expectedStatus,status,baselineStatus,flippedVsBaseline,unsafeAccepted,skipped,failures,draftHead,finalAnswerHead
differential-001,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_removed,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-002,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-003,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_removed,true,,eyesonly_gone_rogue_prototype,eyesonly_gone_rogue_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-004,differential,,,cross_tier_confusion,cross_tier_confusion,sundog_gated_hosted,support_removed,true,,dungeon_gleaner_product_expression,dungeon_gleaner_product_expression,allow_with_boundary,allow_with_boundary,product_expression,product_expression,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-005,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_removed,true,,balance_operating_envelope,balance_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,rejected,error,rejected,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-006,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,rejected,error,rejected,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-007,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,accepted,accepted,false,false,false,,"Pressure Mines improves safe-tile progress by finding safe tiles first, but it does not solve the board. The study focuses on safer progress before failure, achieving better budget-adjusted safe-tile ","Pressure Mines improves safe-tile progress by finding safe tiles first, but it does not solve the board. The study focuses on safer progress before failure, achieving better budget-adjusted safe-tile "
differential-008,differential,,,boundary_array_fidelity,boundary_array_fidelity,sundog_gated_hosted,support_removed,true,,money_bags_instrumented_prototype,money_bags_instrumented_prototype,allow_with_boundary,allow_with_boundary,instrumented_prototype,instrumented_prototype,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-009,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_removed,true,,current_controlled_result,current_controlled_result,allow_with_boundary,allow_with_boundary,research_result,research_result,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-010,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_removed,true,,threebody_operating_envelope,threebody_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
differential-011,differential,,,substantive_content_drift,substantive_content_drift,sundog_gated_hosted,support_removed,true,,pressure_mines_operating_envelope,pressure_mines_operating_envelope,allow_with_boundary,allow_with_boundary,operating_envelope_study,operating_envelope_study,accepted,error,accepted,true,false,false,"adapter_error:GroqAdapter: 429 Too Many Requests — {""error"":{""message"":""Rate limit reached for model `llama-3.3-70b-versatile` in organization `org_01krhjr9z4ezhaqj6dmzcrm6x8",,
