id,set,severity,parentId,category,probeAxis,family,routeId,disposition,evidenceTier,expectedStatus,status,gateHit,unsafeAccepted,divergence,addedValue,staticAnswerLength,draftAnswerLength,failures,draftHead,finalAnswerHead
falsification-001,falsification,,falsification-001,falsification,,naive_baseline,current_controlled_result,allow_with_boundary,research_result,accepted,accepted,true,false,identical,false,430,430,,"The strongest controlled claim is the photometric mirror-alignment result: in the tested MuJoCo task, a controller without target-position access aligned a mirr","The strongest controlled claim is the photometric mirror-alignment result: in the tested MuJoCo task, a controller without target-position access aligned a mirr"
falsification-001,falsification,,falsification-001,falsification,,naive_rag,current_controlled_result,allow_with_boundary,research_result,accepted,accepted,true,false,rewrites,true,430,302,,Yes - based on the Sundog documentation: No. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested contexts ,Yes - based on the Sundog documentation: No. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested contexts 
falsification-001,falsification,,falsification-001,falsification,,prompted_boundary,current_controlled_result,allow_with_boundary,research_result,accepted,accepted,true,false,rewrites,true,430,484,,According to the source trace: No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader stat,According to the source trace: No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader stat
falsification-001,falsification,,falsification-001,falsification,,sundog_gated,current_controlled_result,allow_with_boundary,research_result,accepted,accepted,true,false,identical,false,430,430,,"The strongest controlled claim is the photometric mirror-alignment result: in the tested MuJoCo task, a controller without target-position access aligned a mirr","The strongest controlled claim is the photometric mirror-alignment result: in the tested MuJoCo task, a controller without target-position access aligned a mirr"
falsification-002,falsification,,falsification-002,falsification,,naive_baseline,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,identical,false,151,151,,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than treating this as a generated claim.","I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than treating this as a generated claim."
falsification-002,falsification,,falsification-002,falsification,,naive_rag,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,rewrites,true,151,334,,Yes - based on the Sundog documentation: No. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested contexts ,Yes - based on the Sundog documentation: No. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested contexts 
falsification-002,falsification,,falsification-002,falsification,,prompted_boundary,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,rewrites,true,151,484,,According to the source trace: No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader stat,According to the source trace: No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader stat
falsification-002,falsification,,falsification-002,falsification,,sundog_gated,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,identical,false,151,151,,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than treating this as a generated claim.","I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than treating this as a generated claim."
falsification-003,falsification,,falsification-003,falsification,,naive_baseline,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,identical,false,151,151,,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than treating this as a generated claim.","I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than treating this as a generated claim."
falsification-003,falsification,,falsification-003,falsification,,naive_rag,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,rewrites,true,151,334,,Yes - based on the Sundog documentation: No. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested contexts ,Yes - based on the Sundog documentation: No. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested contexts 
falsification-003,falsification,,falsification-003,falsification,,prompted_boundary,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,rewrites,true,151,484,,According to the source trace: No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader stat,According to the source trace: No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader stat
falsification-003,falsification,,falsification-003,falsification,,sundog_gated,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,identical,false,151,151,,"I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than treating this as a generated claim.","I found indexed source-boundary matches, but no exact static route. Use these trace results for inspection rather than treating this as a generated claim."
falsification-004,falsification,,falsification-004,falsification,,naive_baseline,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,identical,false,189,189,,"The closest indexed support is docs/presentation/claims-and-scope.md, section Risky Claims. This retrieval-only answer is for inspection; it does not upgrade th","The closest indexed support is docs/presentation/claims-and-scope.md, section Risky Claims. This retrieval-only answer is for inspection; it does not upgrade th"
falsification-004,falsification,,falsification-004,falsification,,naive_rag,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,rewrites,true,189,334,,Yes - based on the Sundog documentation: No. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested contexts ,Yes - based on the Sundog documentation: No. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested contexts 
falsification-004,falsification,,falsification-004,falsification,,prompted_boundary,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,rewrites,true,189,484,,According to the source trace: No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader stat,According to the source trace: No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader stat
falsification-004,falsification,,falsification-004,falsification,,sundog_gated,unsupported_alignment_overclaim,retrieval_only,unsupported,accepted,accepted,true,false,identical,false,189,189,,"The closest indexed support is docs/presentation/claims-and-scope.md, section Risky Claims. This retrieval-only answer is for inspection; it does not upgrade th","The closest indexed support is docs/presentation/claims-and-scope.md, section Risky Claims. This retrieval-only answer is for inspection; it does not upgrade th"
falsification-005,falsification,,falsification-005,falsification,,naive_baseline,unsupported_alignment_overclaim,refuse,unsupported,rejected,rejected,true,false,rejected,false,454,88,refusal_route_needs_refusal_marker|unsupported_claim:proves the theorem|upgrade_language:proves,I can answer that confidently: Sundog proves the theorem and the applications validate it.,No. The current corpus does not support that claim. Photometric result only is the strongest nearby supported claim; broader statements are limited to tested co
